Rank (Borda);Model;Zero-shot;Memory Usage (MB);Number of Parameters;Embedding Dimensions;Max Tokens;Retrieval
1;[inf-retriever-v1](https://huggingface.co/infly/inf-retriever-v1);66%;13483;7B;3584;32768;73.89
2;[gemini-embedding-exp-03-07](https://developers.googleblog.com/en/gemini-embedding-text-model-now-available-gemini-api/);100%;Unknown;Unknown;3072;8192;74.63
3;[voyage-3](https://blog.voyageai.com/2024/09/18/voyage-3/);100%;Unknown;Unknown;1024;32000;75.17
4;[inf-retriever-v1-1.5b](https://huggingface.co/infly/inf-retriever-v1-1.5b);66%;2944;1B;1536;32768;72.14
5;[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct);⚠️ NA;29040;7B;3584;32768;70.01
6;[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct);⚠️ NA;6776;1B;8960;32768;70.17
7;[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral);100%;13563;7B;4096;32768;69.76
8;[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B);100%;13813;7B;4096;4096;70.07
9;[voyage-3-lite](https://blog.voyageai.com/2024/09/18/voyage-3/);100%;Unknown;Unknown;512;32000;68.16
10;[text-embedding-3-large](https://openai.com/index/new-embedding-models-and-api-updates/);⚠️ NA;Unknown;Unknown;3072;8191;68.55
11;[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral);100%;13563;7B;4096;32768;68.46
12;[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1);100%;1885;494M;896;512;69.92
13;[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct);100%;13563;7B;4096;32768;67.42
14;[NV-Embed-v1](https://huggingface.co/nvidia/NV-Embed-v1);100%;29945;7B;4096;32768;65.35
15;[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5);100%;5887;1B;8960;131072;67.03
15;[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3);100%;1092;572M;1024;8194;68.25
17;[jasper_en_vision_language_v1](https://huggingface.co/NovaSearch/jasper_en_vision_language_v1);100%;3802;1B;8960;131072;66.62
18;[GritLM-8x7B](https://huggingface.co/GritLM/GritLM-8x7B);100%;89079;57B;4096;4096;68.26
19;[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct);100%;1068;560M;1024;514;66.57
20;[Cohere-embed-multilingual-v3.0](https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0);⚠️ NA;Unknown;Unknown;1024;Unknown;66.86
21;[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R);100%;13563;7B;4096;32768;69.1
22;[text-multilingual-embedding-002](https://cloud.google.com/vertex-ai/generative-ai/docs/embeddings/get-text-embeddings);100%;Unknown;Unknown;768;2048;67.41
23;[NV-Embed-v2](https://huggingface.co/nvidia/NV-Embed-v2);100%;14975;7B;4096;32768;62
24;[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base);100%;582;305M;768;8192;68.24
25;[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0);100%;2166;568M;1024;8192;65.05
26;[snowflake-arctic-embed-m-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-m-v2.0);100%;1165;305M;768;8192;64.02
26;[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3);⚠️ NA;Unknown;Unknown;384;512;64.91
28;[text-embedding-3-small](https://openai.com/index/new-embedding-models-and-api-updates/);⚠️ NA;Unknown;Unknown;1536;8191;61.06
