Rank (Borda);Model;Zero-shot;Memory Usage (MB);Number of Parameters;Embedding Dimensions;Max Tokens;Mean (Task);Mean (TaskType);Reranking;Retrieval
1;[GritLM-7B](https://huggingface.co/GritLM/GritLM-7B);100%;13813;7B;4096;4096;84.42;86.47;92.62;80.32
2;[Linq-Embed-Mistral](https://huggingface.co/Linq-AI-Research/Linq-Embed-Mistral);100%;13563;7B;4096;32768;83.8;85.71;91.42;79.99
3;[e5-mistral-7b-instruct](https://huggingface.co/intfloat/e5-mistral-7b-instruct);100%;13563;7B;4096;32768;83.83;85.64;91.08;80.2
4;[SFR-Embedding-Mistral](https://huggingface.co/Salesforce/SFR-Embedding-Mistral);100%;13563;7B;4096;32768;84.17;85.81;90.75;80.88
5;[bge-multilingual-gemma2](https://huggingface.co/BAAI/bge-multilingual-gemma2);100%;35254;9B;3584;8192;82.66;84.95;91.83;78.07
6;[Cohere-embed-multilingual-v3.0](https://huggingface.co/Cohere/Cohere-embed-multilingual-v3.0);⚠️ NA;Unknown;Unknown;1024;Unknown;81.7;84.08;91.2;76.95
7;[SFR-Embedding-2_R](https://huggingface.co/Salesforce/SFR-Embedding-2_R);100%;13563;7B;4096;32768;82.4;83.76;87.84;79.68
8;[multilingual-e5-large-instruct](https://huggingface.co/intfloat/multilingual-e5-large-instruct);100%;1068;560M;1024;514;81.32;83.48;89.95;77.01
9;[snowflake-arctic-embed-l-v2.0](https://huggingface.co/Snowflake/snowflake-arctic-embed-l-v2.0);100%;2166;568M;1024;8192;80.51;82.88;90;75.76
10;[jasper_en_vision_language_v1](https://huggingface.co/NovaSearch/jasper_en_vision_language_v1);100%;3802;1B;8960;131072;79.14;80.88;86.12;75.65
11;[gte-Qwen1.5-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen1.5-7B-instruct);⚠️ NA;29449;7B;4096;32768;78.39;80.53;86.98;74.09
12;[gte-multilingual-base](https://huggingface.co/Alibaba-NLP/gte-multilingual-base);100%;582;305M;768;8192;77.9;80.43;88.03;72.83
13;[bilingual-embedding-large](https://huggingface.co/Lajavaness/bilingual-embedding-large);100%;2136;559M;1024;514;78.19;80.13;85.95;74.31
14;[USER-bge-m3](https://huggingface.co/deepvk/USER-base);100%;1370;359M;1024;8194;77.18;79.34;85.83;72.85
15;[KaLM-embedding-multilingual-mini-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-v1);100%;1885;494M;896;512;76.09;78.88;87.27;70.5
15;[stella_en_1.5B_v5](https://huggingface.co/NovaSearch/stella_en_1.5B_v5);100%;5887;1B;8960;131072;76.18;78.56;85.7;71.42
17;[voyage-law-2](https://blog.voyageai.com/2024/04/15/domain-specific-embeddings-and-retrieval-legal-edition-voyage-law-2/);100%;Unknown;Unknown;1024;16000;72.87;77.45;91.2;63.71
18;[KaLM-embedding-multilingual-mini-instruct-v1](https://huggingface.co/HIT-TMG/KaLM-embedding-multilingual-mini-instruct-v1);100%;1885;494M;896;512;75.99;78.64;86.6;70.68
19;[multilingual-e5-large](https://huggingface.co/intfloat/multilingual-e5-large);100%;2136;560M;1024;514;76.97;79.09;85.45;72.72
20;[Cohere-embed-multilingual-light-v3.0](https://cohere.com/blog/introducing-embed-v3);⚠️ NA;Unknown;Unknown;384;512;75.43;78.06;85.96;70.17
21;[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual);100%;204;107M;384;512;73.53;76.97;87.28;66.66
22;[gte-Qwen2-1.5B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-1.5B-instruct);⚠️ NA;6776;1B;8960;32768;72.61;77.97;94.03;61.9
23;[multilingual-e5-base](https://huggingface.co/intfloat/multilingual-e5-base);100%;1061;278M;768;514;74.53;77.22;85.31;69.13
24;[granite-embedding-278m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-278m-multilingual);100%;530;278M;768;512;74.51;77.29;85.64;68.94
25;[gte-Qwen2-7B-instruct](https://huggingface.co/Alibaba-NLP/gte-Qwen2-7B-instruct);⚠️ NA;29040;7B;3584;32768;75.06;77.38;84.32;70.43
26;[bilingual-embedding-base](https://huggingface.co/Lajavaness/bilingual-embedding-base);100%;1061;278M;768;514;71.62;74.67;83.83;65.52
27;[jina-embeddings-v3](https://huggingface.co/jinaai/jina-embeddings-v3);100%;1092;572M;1024;8194;73.86;73.72;73.32;74.13
28;[stella_en_400M_v5](https://huggingface.co/NovaSearch/stella_en_400M_v5);100%;1660;435M;4096;8192;70.42;73.89;84.29;63.48
29;[bilingual-embedding-small](https://huggingface.co/Lajavaness/bilingual-embedding-small);100%;449;117M;384;512;69.96;72.89;81.68;64.09
30;[voyage-multilingual-2](https://blog.voyageai.com/2024/06/10/voyage-multilingual-2-multilingual-embedding-model/);100%;Unknown;Unknown;1024;32000;67.33;73.1;90.4;55.8
31;[multilingual-e5-small](https://huggingface.co/intfloat/multilingual-e5-small);100%;449;118M;384;512;69.13;72.15;81.22;63.08
